ds,yhat,yhat_lower,yhat_upper
2023-01-31,41526.785950000005,27279.34463718398,56004.76046317505
2023-02-28,40535.563204794526,26026.68358930125,54482.15446020858
2023-03-31,39438.138023046005,24297.618644185284,54207.71668936525
2023-04-30,38376.11365503027,23985.89337457842,51789.71512612533
2023-05-31,37278.68847471275,23196.519380456924,51207.61462522655
2023-06-30,36216.664105041484,21859.32816840121,51402.38550605799
2023-07-31,35119.238924419464,19686.70859359015,48204.51078810569
2023-08-31,34021.813743082304,19764.00461690975,49619.987516131085
2023-09-30,32959.78937548927,18451.399146653825,47157.62381558335
2023-10-31,31862.36419440112,17657.483378277368,45378.84399412203
2023-11-30,30800.33982702654,17116.203559772246,45033.30799150913
2023-12-31,29702.91464740613,16467.910356451728,43023.50120639689
2024-01-31,28605.489467785726,13263.565451169272,43488.49866552127
2024-02-29,27578.865912656962,12146.994092512541,41711.02964787608
2024-03-31,26481.440733036554,12416.256080537365,41814.79485318207
2024-04-30,25419.416365661968,10249.114633659972,40299.75435004307
2024-05-31,24321.991186041563,10048.645716100482,39717.155930308385
2024-06-30,23259.96681866698,8465.398421665546,38428.93562744113
2024-07-31,22162.541639046573,7197.560395221871,37359.67268207684
2024-08-31,21065.11645942617,6720.444043886371,34919.37519657328
2024-09-30,20003.092092051582,5421.176149541782,34216.32598610472
2024-10-31,18905.666912431177,3780.0185768432757,32722.192522195473
2024-11-30,17843.642545056595,2907.3508815631553,32131.249711023513
2024-12-31,16746.21736543619,2627.2618855092996,31438.244345605675
2025-01-31,15648.79218581578,1427.8649762322088,29774.87415885978
