ds,yhat,yhat_lower,yhat_upper
2023-01-31,41526.785950000005,27981.391120079035,56899.86447431394
2023-02-28,40535.563204794526,25483.799873370797,54500.89955289829
2023-03-31,39438.138023046005,25612.73930517385,54181.509331461646
2023-04-30,38376.11365503027,23071.300033825926,53199.97541113617
2023-05-31,37278.68847471275,22392.024058620682,52130.67835565192
2023-06-30,36216.664105041484,21779.78515178215,49951.753499822145
2023-07-31,35119.238924419464,21405.800882806892,49791.718496715555
2023-08-31,34021.813743082304,19566.76834330345,48202.17283318144
2023-09-30,32959.78937548927,18554.327721287802,47512.04691213252
2023-10-31,31862.36419440112,17950.520365185137,45995.77842642642
2023-11-30,30800.33982702654,15938.397774221132,44995.959979371415
2023-12-31,29702.91464740613,14623.24461187889,44091.43511738576
2024-01-31,28605.489467785726,13331.573201785537,42717.89569137306
2024-02-29,27578.865912656962,13478.761845422534,43086.05561649407
2024-03-31,26481.440733036554,11527.066434685634,41180.6864732562
2024-04-30,25419.416365661968,11833.916766793629,40434.598097194576
2024-05-31,24321.991186041563,8682.200408394689,39665.43113875089
2024-06-30,23259.96681866698,8039.06779813154,37782.2194025712
2024-07-31,22162.541639046573,7282.109965239657,37778.02595526648
2024-08-31,21065.11645942617,6647.91288509058,36440.91840633208
2024-09-30,20003.092092051582,5571.622904353009,34693.20430678415
2024-10-31,18905.666912431177,3239.9168888923086,34605.91607094179
2024-11-30,17843.642545056595,3604.0294774933145,33131.936715729425
2024-12-31,16746.21736543619,2262.9978588192535,31557.775351641652
2025-01-31,15648.79218581578,1531.5507524179172,30497.179962576985
